Database_Name,Table_Name
edwcr,fact_rad_onc_patient_diagnosis
edwcr,fact_rad_onc_patient_toxicity
edwcr,fact_rad_onc_treatment_history
edwcr,icd_oncology_diagnosis_code_xwalk
edwcr,navque_history
edwcr,navque_patient_tumor_driver
edwcr,rad_onc_activity_transaction
edwcr,rad_onc_address
edwcr,rad_onc_junc_patient_contact_phone
edwcr,rad_onc_junc_patient_phone
edwcr,rad_onc_junc_physician_address
edwcr,rad_onc_junc_physician_phone
edwcr,rad_onc_patient
edwcr,rad_onc_patient_contact
edwcr,rad_onc_patient_course
edwcr,rad_onc_patient_history
edwcr,rad_onc_patient_physician
edwcr,rad_onc_patient_plan
edwcr,rad_onc_phone
edwcr,rad_onc_physician
edwcr,ref_abstraction_measure
edwcr,ref_ajcc_stage
edwcr,ref_biopsy_result
edwcr,ref_biopsy_type
edwcr,ref_breast_cancer_type
edwcr,ref_cancer_diagnosis
edwcr,ref_consult_type
edwcr,ref_contact_method
edwcr,ref_contact_person
edwcr,ref_contact_purpose
edwcr,ref_core_record_type
edwcr,ref_cr_treatment_type
edwcr,ref_detail_tumor_site
edwcr,ref_diagnosis_detail
edwcr,ref_diagnosis_navigation
edwcr,ref_diagnosis_result
edwcr,ref_disease_assess_source
edwcr,ref_facility
edwcr,ref_holiday_calendar
edwcr,ref_hospital
edwcr,ref_housing_type
edwcr,ref_icd_oncology
edwcr,ref_imaging_mode
edwcr,ref_imaging_type
edwcr,ref_lab_type
edwcr,ref_lookup_code
edwcr,ref_lookup_name
edwcr,ref_lung_lobe_location
edwcr,ref_national_service_center
edwcr,ref_navigation_measure
edwcr,ref_navigator
edwcr,ref_navque_action
edwcr,ref_navque_reason
edwcr,ref_pathway_var_reason
edwcr,ref_patient_type_status
edwcr,ref_physician_specialty
edwcr,ref_procedure_type
edwcr,ref_rad_onc_activity
edwcr,ref_rad_onc_activity_priority
edwcr,ref_rad_onc_diagnosis_code
edwcr,ref_rad_onc_hospital
edwcr,ref_rad_onc_location
edwcr,ref_rad_onc_lookup
edwcr,ref_rad_onc_measure
edwcr,ref_rad_onc_plan_purpose
edwcr,ref_rad_onc_procedure_code
edwcr,ref_rad_onc_site
edwcr,ref_rad_onc_toxicity_assessment_type
edwcr,ref_rad_onc_toxicity_component
edwcr,ref_rad_onc_treatment_type
edwcr,ref_referring_physician
edwcr,ref_regimen
edwcr,ref_result
edwcr,ref_sample_type
edwcr,ref_sc_facility
edwcr,ref_side
edwcr,ref_site_location
edwcr,ref_status
edwcr,ref_surgery_type
edwcr,ref_surgical_procedure_classification
edwcr,ref_test_type
edwcr,ref_therapy_type
edwcr,ref_transplant_type
edwcr,ref_treatment_phase
edwcr,ref_treatment_type
edwcr,ref_treatment_type_group
edwcr,ref_tumor_site
edwcr,ref_tumor_site_diagnosis
edwcr,ref_tumor_type
